CATALOGID,RA,DEC,GAIA_DR3_SOURCE_ID,SNR_SnowWhite,WD_TYPE,Teff_SnowWhite,E_Teff_SnowWhite,Logg_SnowWhite,E_Logg_SnowWhite,SPEC_FILE,SN_MEDIAN_ALL,MJD,GAIA_BP,GAIA_RP,GAIA_G,PARALLAX
4264144703,304.8432312011719,55.57284164428711,2186111415629425408,3.363943099975586,DA,20016.521484375,266.88372802734375,7.549281120300293,0.002265505027025938,spec-015383-59363-4264144703.fits         ,2.2997827529907227,59363,19.77899932861328,19.7947998046875,19.80389976501465,1.2640929222106934
27021598152815951,175.0738067626953,15.04605484008789,3924182941135526784,90.30586242675781,DA,21367.00390625,366.8739929199219,8.989999771118164,2.0680809029727243e-05,spec-101471-59938-27021598152815951.fits  ,6.259418964385986,59938,19.408863067626953,19.43329429626465,19.45501136779785,3.8705899715423584
27021597936167136,326.35687255859375,4.526228427886963,2695384276534891648,6.078004360198975,DA,18699.970703125,299.998779296875,7.861696243286133,0.000956790114287287,spec-103550-59879-27021597936167136.fits  ,4.121917247772217,59879,19.532684326171875,19.88444709777832,19.631938934326172,2.8348701000213623
5300813967,293.0458068847656,21.274953842163086,2018079070813551616,34.20166015625,DA,16749.65234375,0.9075758457183838,7.903536319732666,0.00018568254017736763,spec-015334-59309-5300813967.fits         ,24.796878814697266,59309,18.002399444580078,17.869800567626953,17.99220085144043,4.446372985839844
4552852438,94.13151550292969,41.423946380615234,959956664176382592,26.092103958129883,DA,36577.125,39.451168060302734,7.843153476715088,0.0003867460472974926,spec-015197-59245-4552852438.fits         ,9.402993202209473,59245,19.002099990844727,19.365299224853516,19.176799774169922,1.4253876209259033
27021597833629518,303.573974609375,62.23801803588867,2243178959628653312,22.586101531982422,DA,88997.421875,3.4263200759887695,6.718064308166504,0.0017069110181182623,spec-101801-59840-27021597833629518.fits  ,16.078969955444336,59840,17.72385025024414,16.987150192260742,17.451736450195312,20.010700225830078
4592560599,135.77474975585938,3.0516810417175293,578291026846814720,18.492313385009766,DA,10546.9306640625,30.11903953552246,8.254605293273926,0.00040957151213660836,spec-015260-59304-4592560599.fits         ,13.315637588500977,59304,19.002099990844727,18.915700912475586,18.99180030822754,3.158747673034668
27021598052323796,73.94739532470703,3.5714921951293945,3233220113067721088,146.244140625,DA,13500.0,18.017032623291016,8.000054359436035,0.00015271559823304415,spec-103950-59936-27021598052323796.fits  ,7.188023567199707,59936,19.068632125854492,19.252050399780273,19.150678634643555,3.064919948577881
4546475869,123.94841003417969,22.154582977294922,676480821117887488,17.29245948791504,DA,13500.0,52.48257064819336,7.853451728820801,0.00032975722569972277,spec-015054-59232-4546475869.fits         ,11.690452575683594,59232,19.486900329589844,19.407499313354492,19.431100845336914,2.9556827545166016
4599909692,204.63235473632812,14.222000122070312,3741532756723915648,32.29291915893555,DA,15559.810546875,23.812843322753906,7.615930080413818,0.00013796682469546795,spec-015298-59292-4599909692.fits         ,13.25154972076416,59292,19.162500381469727,19.144100189208984,19.193199157714844,2.3984580039978027
4594959060,171.65841674804688,10.480253219604492,3915436124273192192,129.22291564941406,DA,17309.455078125,9.44316291809082,7.937328815460205,4.0804730815580115e-05,spec-015129-59217-4594959060.fits         ,36.63815689086914,59217,17.088300704956055,17.231800079345703,17.23310089111328,6.023204326629639
4570537189,143.0478057861328,-0.5876599550247192,3839832021120026624,9.700718879699707,DA,32711.3671875,2288.595703125,8.041075706481934,0.00041207659523934126,spec-015267-59308-4570537189.fits         ,6.544855117797852,59308,19.46660041809082,19.751100540161133,19.82159996032715,1.9705007076263428
4360745881,157.40296936035156,44.18013000488281,829843657899711872,12.347610473632812,DA,13378.5283203125,239.74151611328125,8.262334823608398,0.0003859969729091972,spec-015351-59359-4360745881.fits         ,8.40396499633789,59359,19.426300048828125,19.360300064086914,19.421100616455078,3.3795065879821777
5300415466,292.2798767089844,20.869421005249023,2017958433770354944,13.623065948486328,DA,21185.962890625,185.9181365966797,8.162946701049805,0.0004530064179562032,spec-015334-59309-5300415466.fits         ,8.645666122436523,59309,19.375600814819336,19.46470069885254,19.52389907836914,2.241877317428589
27021597973611204,66.84811401367188,-1.0387378931045532,3206390517521385344,7.876021385192871,DA,17267.595703125,232.4221954345703,7.8889899253845215,0.0007806512876413763,spec-103619-59931-27021597973611204.fits  ,3.916877508163452,59931,19.884136199951172,20.05158805847168,19.928682327270508,1.3804800510406494
4350970383,213.83343505859375,53.1854362487793,1608230025583261824,34.750144958496094,DA,21864.607421875,135.42294311523438,8.755230903625488,2.0959134417353198e-05,spec-015290-59370-4350970383.fits         ,16.66138458251953,59370,19.000999450683594,19.226999282836914,19.138200759887695,3.8525171279907227
4554493719,124.59613800048828,24.177701950073242,679208258493295232,17.683130264282227,DA,19750.138671875,0.15108689665794373,7.970652103424072,0.00041505860281176865,spec-015053-59230-4554493719.fits         ,12.543478012084961,59230,19.166799545288086,19.273799896240234,19.24220085144043,1.9452426433563232
27021597837612472,344.3295593261719,65.42911529541016,2211856205520038272,11.961095809936523,DA,13311.2685546875,315.8364562988281,8.186616897583008,0.0023739486932754517,spec-101716-59898-27021597837612472.fits  ,3.2169501781463623,59898,20.0235595703125,19.990251541137695,19.932369232177734,2.5627601146698
27021597810348426,353.84991455078125,54.50896453857422,1994311679567418880,4.406889915466309,DA,30493.21484375,69.49994659423828,7.444546222686768,0.0001614782668184489,spec-100595-59894-27021597810348426.fits  ,2.89353084564209,59894,19.044424057006836,19.19272804260254,19.15117645263672,1.9679900407791138
4457222074,108.70806884765625,-24.266088485717773,5617384844530212480,9.123478889465332,DA,7750.0,4.823554515838623,7.848995685577393,0.0015100435120984912,spec-015116-59212-4457222074.fits         ,2.414787769317627,59212,19.224000930786133,18.853700637817383,19.176599502563477,4.092397689819336
27021597960253114,42.871253967285156,0.4636416733264923,2498227548023387136,11.122749328613281,DA,6931.22900390625,58.04310989379883,8.127589225769043,9.672137093730271e-05,spec-104585-59885-27021597960253114.fits  ,8.0247802734375,59885,19.212085723876953,18.69085121154785,19.018627166748047,7.566070079803467
27021598048571379,120.97401428222656,-0.7495606541633606,3083166157750461312,58.71633529663086,DA,22099.751953125,128.73272705078125,7.839722633361816,0.001055303611792624,spec-104378-59910-27021598048571379.fits  ,3.728881597518921,59910,19.819534301757812,20.105602264404297,19.99049949645996,0.9748669862747192
27021598082696104,99.4969482421875,6.1537885665893555,3131899605468536320,10.395319938659668,DA,7875.240234375,0.5032711029052734,7.285435199737549,0.0002515434753149748,spec-103472-59884-27021598082696104.fits  ,7.70301628112793,59884,18.707887649536133,18.303096771240234,18.66791534423828,7.2393798828125
4599409248,190.73367309570312,14.325977325439453,3932387191959392256,12.098958969116211,DA,10282.0390625,31.496692657470703,8.103055000305176,0.0007801661267876625,spec-015355-59359-4599409248.fits         ,8.466425895690918,59359,18.992799758911133,18.90130043029785,19.028099060058594,3.6436519622802734
27021597973611231,66.94129943847656,-1.1893134117126465,3206339390230599168,392.56866455078125,DA,37016.8125,676.6270751953125,8.314287185668945,0.0008041682303883135,spec-103619-59931-27021597973611231.fits  ,4.80033540725708,59931,19.296157836914062,19.85500144958496,19.53620719909668,1.0746300220489502
27021597926041278,321.06097412109375,-5.861515045166016,6899191785030579072,4.283499717712402,DA,7796.50830078125,121.27770233154297,7.122478008270264,0.0006746434373781085,spec-103587-59881-27021597926041278.fits  ,3.17502760887146,59881,20.062498092651367,19.556501388549805,19.935169219970703,3.7826499938964844
27021598102022013,117.91951751708984,9.582435607910156,3148768892681659904,19.49107551574707,DA,18654.5703125,844.6901245117188,7.724767208099365,0.00025232956977561116,spec-100154-59940-27021598102022013.fits  ,6.121301174163818,59940,19.4256534576416,19.640918731689453,19.56882095336914,1.3795499801635742
27021597959822155,28.246427536010742,1.004288673400879,2510891108771852416,94.19331359863281,DA,12633.037109375,0.24430455267429352,7.824261665344238,0.00013260154810268432,spec-104643-59872-27021597959822155.fits  ,30.81515121459961,59872,16.5197811126709,16.493816375732422,16.504268646240234,11.552000045776367
5325337890,299.7731018066406,16.30303382873535,1820072552953133056,6.928862571716309,DA,33421.76171875,574.7719116210938,6.5,1.090051682695048e-06,spec-015381-59391-5325337890.fits         ,4.6397247314453125,59391,19.010400772094727,19.275400161743164,19.083099365234375,0.8501852750778198
