cntr_01,dist_x,pang_x,catalogid,ra,dec,gaia_dr3_source_id,snr_snowwhite,wd_type,teff_snowwhite,e_teff_snowwhite,logg_snowwhite,e_logg_snowwhite,spec_file,sn_median_all,mjd,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ext_flg,var_flg,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
608,0.289304,171.249484,2.7021597933E+016,8.8517198563,-1.4467219114,2.5424467446E+018,65.914657593,DA,16472.855469,27.143850327,7.7641410828,0.00014141161228,spec-104618-59925-27021597933224084.fits,5.8382363319,59925,J003524.41-012648.4,8.8517321,-1.4468013,0.5547,0.5554,-0.1605,16.323,0.089,12.1,0.7535,16.494,null,1,0.8723,12.697,null,-0.1,0.8031,9.046,null,0,0.9163,1,0,0,0,0,0,0,0,0nnn,1111,8,14,0,14,0,13,0,14,null,null,null,null,null,null,null
627,0.645761,106.549214,2.7021598152E+016,169.4407959,3.0816502571,3.8118765944E+018,53.335205078,DA,13500,41.666191101,7.8079118729,0.00011852707394,spec-101214-59951-27021598151770834.fits,12.305933952,59951,J111745.83+030453.7,169.4409681,3.0815992,0.376,0.4134,0.058,15.82,0.067,16.2,0.962,16.582,0.414,2.6,1.055,12.452,null,-2.8,0.9788,8.782,null,-0.7,0.8137,1,0,0,0,0,0.01,0,0,0nnn,0,11,11,0,11,0,11,0,11,844170528,15.561,0.065,15.753,0.131,15.246,null
848,0.529632,-159.609133,2.7021597909E+016,184.25585938,64.067771912,1.584734596E+018,135.04473877,DA,7707.4233398,50.658565521,7.5623316765,0.00020548973407,spec-100796-59954-27021597908886443.fits,10.734246254,59954,J121701.37+640403.4,184.2557422,64.067634,0.4493,0.4663,0.1483,16.581,0.081,13.4,1.136,16.127,0.174,6.2,0.8781,13.195,null,-1.1,0.9847,9.439,null,-1.6,1.059,1,0,0,0,0,0,0,0,1nnn,0,8,22,0,21,0,21,0,21,null,null,null,null,null,null,null
854,0.757944,94.055492,4349237503,213.80509949,63.070335388,1.667619154E+018,110.51873016,DA,13951.989258,34.01682663,8.0140380859,0.000021758241928,spec-015303-59280-4349237503.fits,39.901878357,59280,J141513.33+630413.1,213.8055632,63.0703205,0.9084,0.8986,0.319,17.528,0.144,7.5,0.8803,17.136,null,1.1,0.9485,13.174,null,0.4,1.03,9.651,null,0,0.9814,1,0,0,0,0,0,0,0,nnnn,0,1,32,0,32,0,30,0,30,621555367,16.698,0.134,16.496,null,15.957,null
855,0.757944,94.055492,4349237503,213.80509949,63.070335388,1.667619154E+018,110.51873016,DA,13951.989258,34.01682663,8.0140380859,0.000021758241928,spec-015303-59309-4349237503.fits,34.939800262,59309,J141513.33+630413.1,213.8055632,63.0703205,0.9084,0.8986,0.319,17.528,0.144,7.5,0.8803,17.136,null,1.1,0.9485,13.174,null,0.4,1.03,9.651,null,0,0.9814,1,0,0,0,0,0,0,0,nnnn,0,1,32,0,32,0,30,0,30,621555367,16.698,0.134,16.496,null,15.957,null
856,0.757944,94.055492,4349237503,213.80509949,63.070335388,1.667619154E+018,110.51873016,DA,13951.989258,34.01682663,8.0140380859,0.000021758241928,spec-015303-59340-4349237503.fits,38.311920166,59340,J141513.33+630413.1,213.8055632,63.0703205,0.9084,0.8986,0.319,17.528,0.144,7.5,0.8803,17.136,null,1.1,0.9485,13.174,null,0.4,1.03,9.651,null,0,0.9814,1,0,0,0,0,0,0,0,nnnn,0,1,32,0,32,0,30,0,30,621555367,16.698,0.134,16.496,null,15.957,null
857,0.757944,94.055492,4349237503,213.80509949,63.070335388,1.667619154E+018,110.51873016,DA,13951.989258,34.01682663,8.0140380859,0.000021758241928,spec-015303-59381-4349237503.fits,45.610927582,59381,J141513.33+630413.1,213.8055632,63.0703205,0.9084,0.8986,0.319,17.528,0.144,7.5,0.8803,17.136,null,1.1,0.9485,13.174,null,0.4,1.03,9.651,null,0,0.9814,1,0,0,0,0,0,0,0,nnnn,0,1,32,0,32,0,30,0,30,621555367,16.698,0.134,16.496,null,15.957,null
889,0.179606,29.99389,2.7021597875E+016,23.408542633,68.059104919,5.3161769026E+017,19.425027847,DA,41792.082031,677.60479736,7.4993848801,0.00099993846379,spec-102053-59973-27021597875325377.fits,8.6790370941,59973,J013338.06+680332.9,23.4086094,68.0591481,0.3295,0.318,-0.0887,15.575,0.061,17.7,1.132,15.995,0.223,4.9,1.505,11.358,0.126,8.6,1.121,8.358,0.206,5.3,1.204,1,0,0,0,0,0.001,0,0,1nnn,0,13,16,1,16,3,15,3,16,1164480692,16.126,0.108,15.898,0.205,15.054,null
890,0.179606,29.99389,2.7021597875E+016,23.408542633,68.059104919,5.3161769026E+017,19.425027847,DA,41792.082031,677.60479736,7.4993848801,0.00099993846379,spec-102053-59974-27021597875325377.fits,6.6913399696,59974,J013338.06+680332.9,23.4086094,68.0591481,0.3295,0.318,-0.0887,15.575,0.061,17.7,1.132,15.995,0.223,4.9,1.505,11.358,0.126,8.6,1.121,8.358,0.206,5.3,1.204,1,0,0,0,0,0.001,0,0,1nnn,0,13,16,1,16,3,15,3,16,1164480692,16.126,0.108,15.898,0.205,15.054,null
918,0.161367,103.441151,2.7021597911E+016,185.28382874,51.975387573,1.5480179857E+018,31.154247284,DA,19096.132812,346.88745117,7.7957849503,0.0011409001891,spec-104635-59731-27021597910860506.fits,4.6370029449,59731,J122108.13+515831.3,185.2838995,51.9753772,0.2284,0.2411,0.0523,15.477,0.044,24.6,0.947,15.378,0.111,9.8,0.9979,13.093,null,-0.8,1.075,9.283,null,0.4,0.9682,1,0,0,0,0,0.002,0,0,10nn,11,19,20,7,20,0,19,0,19,620214780,16.435,0.126,15.703,0.159,15.251,0.182
