CATALOGID,ra,dec,GAIA_DR3_SOURCE_ID,SNR_SnowWhite,WD_TYPE,Teff_SnowWhite,E_Teff_SnowWhite,Logg_SnowWhite,E_Logg_SnowWhite,SPEC_FILE,SN_MEDIAN_ALL,MJD
2.70215979298203E+016,354.750305175781,-0.637400090694428,2.64126401211314E+018,20.9739379882812,DA,11750,212.916610717773,8.21181392669678,0.000243862043134868,spec-104656-59793-27021597929820291.fits  ,4.03592157363892,59793
2.70215979298203E+016,354.750305175781,-0.637400090694428,2.64126401211314E+018,20.9739379882812,DA,11750,212.916610717773,8.21181392669678,0.000243862043134868,spec-104656-59820-27021597929820291.fits  ,7.20700788497925,59820
2.70215979298203E+016,354.750305175781,-0.637400090694428,2.64126401211314E+018,20.9739379882812,DA,11750,212.916610717773,8.21181392669678,0.000243862043134868,spec-104656-59872-27021597929820291.fits  ,3.27895355224609,59872
2.70215987122901E+016,296.5068359375,-4.65139484405518,4.20952263250292E+018,11.1375942230225,DA,7244.82080078125,37.1301879882812,6.5,0.00026622018776834,spec-100516-59845-27021598712290072.fits  ,4.63158082962036,59845
2.7021598713246E+016,291.281311035156,-0.975835978984833,4.26322969100333E+018,3.46275091171265,DA,19999.802734375,1000.30236816406,7.74904203414917,0.000277781102340668,spec-100544-59736-27021598713245960.fits  ,2.46872782707214,59736
4384420554,350.112243652344,24.3318920135498,2.8407718744423E+018,20.3797054290771,DA,7151.564453125,10.2081117630005,7.59988880157471,0.000549874966964126,spec-015036-59188-4384420554.fits         ,14.6026525497437,59188
4555395449,119.032386779785,38.058780670166,9.19393653004001E+017,45.7498588562012,DA,16373.3671875,28.5917110443115,7.94085502624512,0.000133226814796217,spec-015020-59200-4555395449.fits         ,15.9151191711426,59200
4555395449,119.032386779785,38.058780670166,9.19393653004001E+017,45.7498588562012,DA,16373.3671875,28.5917110443115,7.94085502624512,0.000133226814796217,spec-015020-59223-4555395449.fits         ,15.2959318161011,59223
4555395449,119.032386779785,38.058780670166,9.19393653004001E+017,45.7498588562012,DA,16373.3671875,28.5917110443115,7.94085502624512,0.000133226814796217,spec-015020-59248-4555395449.fits         ,15.7703351974487,59248
4555395449,119.032386779785,38.058780670166,9.19393653004001E+017,45.7498588562012,DA,16373.3671875,28.5917110443115,7.94085502624512,0.000133226814796217,spec-015020-59284-4555395449.fits         ,16.9637126922607,59284
2.70215979112161E+016,149.474639892578,85.4945678710937,1.14785324133611E+018,,DA,,,,,spec-102164-59651-27021597911216115.fits  ,20.2478275299072,59651
2.70215979112161E+016,149.474639892578,85.4945678710937,1.14785324133611E+018,,DA,,,,,spec-102164-59652-27021597911216115.fits  ,13.7627248764038,59652
2.70215979112161E+016,149.474639892578,85.4945678710937,1.14785324133611E+018,,DA,,,,,spec-102164-59653-27021597911216115.fits  ,21.3145294189453,59653
2.70215979112161E+016,149.474639892578,85.4945678710937,1.14785324133611E+018,,DA,,,,,spec-102164-59654-27021597911216115.fits  ,18.6958694458008,59654
4522390757,94.6940078735352,2.89184212684631,3.12483960694627E+018,11.027229309082,DA,6000,0,8.98999977111816,0,spec-015137-59214-4522390757.fits         ,7.34055948257446,59214
2.70215979298121E+016,353.725769042969,-0.243417173624039,2.64434364539852E+018,175.762496948242,DA,11949.0126953125,37.0000419616699,6.5,0,spec-104656-59793-27021597929812105.fits  ,10.4536275863647,59793
2.70215979298121E+016,353.725769042969,-0.243417173624039,2.64434364539852E+018,175.762496948242,DA,11949.0126953125,37.0000419616699,6.5,0,spec-104656-59820-27021597929812105.fits  ,17.1440773010254,59820
2.70215979298121E+016,353.725769042969,-0.243417173624039,2.64434364539852E+018,175.762496948242,DA,11949.0126953125,37.0000419616699,6.5,0,spec-104656-59872-27021597929812105.fits  ,8.61966800689697,59872
2.70215979335877E+016,16.8128395080566,-1.35014665126801,2.53284900451835E+018,42.4735908508301,DA,11351.103515625,103.129211425781,8.06735420227051,0.000675040879286826,spec-104666-59928-27021597933587715.fits  ,4.4670262336731,59928
2.70215979335877E+016,16.8128395080566,-1.35014665126801,2.53284900451835E+018,42.4735908508301,DA,11351.103515625,103.129211425781,8.06735420227051,0.000675040879286826,spec-104666-59930-27021597933587715.fits  ,3.79365468025208,59930
2.70215979335877E+016,16.8128395080566,-1.35014665126801,2.53284900451835E+018,42.4735908508301,DA,11351.103515625,103.129211425781,8.06735420227051,0.000675040879286826,spec-104666-59933-27021597933587715.fits  ,3.20492386817932,59933
4416864550,77.3693923950195,-4.06189727783203,3.21215913963634E+018,49.0452194213867,DA,7769.85009765625,12.4448938369751,7.80352735519409,5.53509607925662E-06,spec-015102-59210-4416864550.fits         ,30.3554992675781,59210
4416864550,77.3693923950195,-4.06189727783203,3.21215913963634E+018,49.0452194213867,DA,7769.85009765625,12.4448938369751,7.80352735519409,5.53509607925662E-06,spec-015102-59266-4416864550.fits         ,18.363245010376,59266
2.70215979707787E+016,63.4336204528809,-2.34100341796875,3.25239755865825E+018,15.8142223358154,DA,80000,0.0810971260070801,6.5,0.00174143875483423,spec-103618-59970-27021597970778742.fits  ,8.00266075134277,59970
4589582677,206.3642578125,-5.86153793334961,3.63235747119892E+018,29.0709209442139,DA,9225.6787109375,23.941047668457,8.2680606842041,6.04387314524502E-05,spec-015200-59246-4589582677.fits         ,7.85707426071167,59246
4589582677,206.3642578125,-5.86153793334961,3.63235747119892E+018,29.0709209442139,DA,9225.6787109375,23.941047668457,8.2680606842041,6.04387314524502E-05,spec-015200-59273-4589582677.fits         ,17.0750179290771,59273
4589582677,206.3642578125,-5.86153793334961,3.63235747119892E+018,29.0709209442139,DA,9225.6787109375,23.941047668457,8.2680606842041,6.04387314524502E-05,spec-015200-59305-4589582677.fits         ,3.80290746688843,59305
4589582677,206.3642578125,-5.86153793334961,3.63235747119892E+018,29.0709209442139,DA,9225.6787109375,23.941047668457,8.2680606842041,6.04387314524502E-05,spec-015200-59324-4589582677.fits         ,9.9296178817749,59324
4589582677,206.3642578125,-5.86153793334961,3.63235747119892E+018,29.0709209442139,DA,9225.6787109375,23.941047668457,8.2680606842041,6.04387314524502E-05,spec-015349-59304-4589582677.fits         ,1.01217353343964,59304
4521894015,91.0725173950195,1.82259702682495,3.31530917016124E+018,7.1270227432251,DA,15605.982421875,143.878173828125,7.66809463500977,0.000918487727176398,spec-015227-59264-4521894015.fits         ,4.96335411071777,59264
2.70215987262011E+016,314.534606933594,-4.33417272567749,6.91535330028875E+018,69.274040222168,DA,32989.62890625,428.920440673828,8.98999977111816,2.43877657339908E-05,spec-101076-59872-27021598726201077.fits  ,6.22416830062866,59872
4351438531,196.693786621094,56.7507438659668,1.56494682264348E+018,15.9830408096313,DA,8160.80517578125,32.9188232421875,7.87489366531372,0.000244973169174045,spec-015198-59269-4351438531.fits         ,3.41228580474854,59269
4351438531,196.693786621094,56.7507438659668,1.56494682264348E+018,15.9830408096313,DA,8160.80517578125,32.9188232421875,7.87489366531372,0.000244973169174045,spec-015198-59273-4351438531.fits         ,2.3540050983429,59273
4351438531,196.693786621094,56.7507438659668,1.56494682264348E+018,15.9830408096313,DA,8160.80517578125,32.9188232421875,7.87489366531372,0.000244973169174045,spec-015348-59302-4351438531.fits         ,7.41005611419678,59302
