cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
54,9.054417,7.976092,4597233985,1.7110366821E+02,2.6795036316E+01,J112424.97+264751.0,171.1040592,26.7975271,0.3344,0.3741,0.0661,17.036,0.117,9.3,9.547E-01,16.618,null,1.7,7.548E-01,12.128,null,0.9,9.908E-01,8.779,null,0.4,9.158E-01,1,0,0.000,0.000,0.000,0.000,679,1433,-229,1602,0000,0,nnnn,BUUU,0000,4,25,0,25,0,12,0,12
55,2.769462,-179.036747,4526832580,9.6906959534E+01,1.0036619186E+01,J062737.66+100209.0,96.9069464,10.0358500,0.1481,0.1666,-0.0343,15.672,0.054,20.1,9.068E-01,16.489,0.313,3.5,8.171E-01,12.309,null,-0.2,9.366E-01,8.829,null,0.1,9.961E-01,1,0,0.000,0.000,0.000,0.000,172,496,696,576,0000,0,0nnn,ABUU,3533,25,26,0,26,0,10,0,10
55,8.950895,-15.578936,4526832580,9.6906959534E+01,1.0036619186E+01,J062737.50+100220.4,96.9062814,10.0390142,0.1714,0.1883,-0.0378,15.865,0.062,17.4,9.018E-01,16.290,0.291,3.7,7.265E-01,12.360,null,-0.2,1.043E+00,8.983,null,0.0,9.417E-01,1,0,0.000,0.000,0.000,0.000,518,581,82,662,0000,0,0nnn,ABUU,3533,21,26,0,26,0,10,0,10
57,6.302202,-174.193067,4545252585,1.3355320740E+02,4.6177983284E+00,J085412.72+043657.8,133.5530297,4.6160567,0.2866,0.3211,-0.0204,16.884,0.108,10.1,9.542E-01,16.101,0.194,5.6,8.359E-01,12.557,null,-0.2,1.120E+00,8.909,null,-0.1,1.059E+00,1,0,0.000,0.000,0.000,0.000,183,1203,807,1357,0000,0,nnnn,ABUU,0000,7,24,1,24,0,11,0,11
59,3.642013,45.040774,27021597904244083,2.6431314087E+02,5.4109104156E+01,J173715.44+540635.3,264.3143620,54.1098190,0.0385,0.0359,-0.0067,11.294,0.023,47.5,3.560E+00,11.352,0.020,53.4,1.604E+00,11.156,0.076,14.3,9.153E-01,9.193,null,1.6,9.832E-01,1,0,0.000,0.001,0.000,0.000,-35,28,-75,28,0000,1,11nn,AAAU,0000,113,113,113,113,18,54,0,54
60,9.865487,-168.520933,27021597939669164,3.3354058838E+02,3.4179189801E-01,J221409.61+002020.7,333.5400430,0.3391063,0.6631,0.6707,-0.2384,17.609,0.206,5.3,7.584E-01,17.182,null,0.1,9.541E-01,12.374,null,-0.5,1.048E+00,8.772,null,0.3,9.853E-01,1,0,0.000,0.000,0.000,0.000,3796,2558,-1125,2637,0000,0,nnnn,BUUU,1111,1,23,0,23,0,10,0,10
62,7.438035,-67.317036,4401006179,1.9935354233E+01,1.4488215446E+01,J011944.01+142920.4,19.9333853,14.4890122,0.1978,0.2018,-0.0616,16.268,0.069,15.7,1.023E+00,15.801,0.153,7.1,8.766E-01,12.599,null,-1.6,1.074E+00,8.855,null,-0.6,9.744E-01,1,0,0.000,0.000,0.000,0.000,893,606,283,628,0000,0,0nnn,ABUU,1100,17,24,0,24,0,13,0,13
64,3.835461,-101.316278,27021598101138751,1.1950423431E+02,2.6530599594E+00,J075800.76+023910.2,119.5031885,2.6528509,0.4148,0.4624,0.0639,17.244,0.150,7.2,8.836E-01,16.906,0.359,3.0,1.029E+00,12.412,null,-0.3,9.484E-01,8.741,null,-1.1,8.865E-01,1,0,0.000,0.000,0.000,0.000,1016,1755,889,1956,0000,0,nnnn,BCUU,1111,2,25,0,25,0,10,0,10
68,8.424301,56.062159,27021597837159456,3.3886431885E+02,6.7641540527E+01,J223528.66+673834.2,338.8694228,67.6428469,0.0520,0.0520,0.0079,13.953,0.025,43.2,1.062E+00,14.084,0.033,32.6,9.658E-01,12.794,0.344,3.2,9.041E-01,9.474,null,0.6,1.089E+00,1,0,0.000,0.000,0.000,0.000,53,54,-16,51,0000,0,00nn,AABU,0011,71,71,71,71,1,48,0,48
71,9.147580,38.278134,27021598867320727,3.0511099243E+02,2.3914620876E+00,J202027.01+022336.4,305.1125679,2.3934568,0.5710,0.6097,-0.1664,17.587,0.187,5.8,9.901E-01,17.045,null,0.6,8.485E-01,12.180,null,1.1,9.688E-01,9.005,null,-0.3,9.403E-01,1,0,0.000,0.000,0.000,0.000,1283,2841,-702,2998,0000,0,nnnn,BUUU,1111,3,25,0,25,0,13,0,13
72,4.013583,-8.850650,27021597942085342,3.4416836548E+02,1.9855453491E+01,J225640.36+195123.5,344.1681831,19.8565551,0.6181,0.6329,-0.2050,17.676,0.207,5.2,9.835E-01,17.294,0.526,2.1,8.501E-01,12.635,null,-0.5,8.998E-01,8.528,null,0.7,9.246E-01,1,0,0.000,0.000,0.000,0.000,-2183,3312,1408,3394,0000,0,nnnn,BCUU,1100,1,26,0,25,0,12,0,12
75,7.834680,26.256646,4491950475,1.3080390930E+02,-3.6185315251E-01,J084313.16-002135.6,130.8048721,-0.3599014,0.0630,0.0662,-0.0112,14.360,0.029,37.9,9.832E-01,14.218,0.046,23.4,9.509E-01,12.510,null,-2.3,8.738E-01,9.085,null,0.1,1.081E+00,1,0,0.000,0.000,0.000,0.000,-133,139,-140,153,0000,0,00nn,AAUU,0000,25,25,24,24,0,12,0,13
81,7.856736,146.158193,27021598725763865,3.1020883179E+02,-2.7621176243E+00,J204050.41-024550.1,310.2100486,-2.7639303,0.1947,0.2035,-0.0546,16.306,0.067,16.1,9.383E-01,16.595,0.277,3.9,8.452E-01,12.681,null,-0.1,1.038E+00,9.035,null,-1.3,9.765E-01,1,0,0.000,0.000,0.000,0.000,-188,763,1050,800,0000,0,0nnn,ABUU,1111,19,28,0,28,1,15,0,15
82,4.549644,25.817242,27021598711860558,2.9546234131E+02,-6.3611979485E+00,J194151.09-062136.2,295.4628951,-6.3600603,0.3270,0.3500,-0.0919,16.941,0.110,9.9,1.280E+00,17.219,null,-1.3,1.225E+00,12.602,null,-0.1,1.121E+00,8.579,null,1.1,9.618E-01,1,0,0.000,0.000,0.000,0.000,1357,1372,287,1485,0000,0,nnnn,BUUU,3400,7,26,0,21,0,12,0,12
83,4.482219,-175.755557,4301594539,3.4653606415E+01,5.8411842346E+01,J021836.82+582438.1,34.6534305,58.4106007,0.0508,0.0492,-0.0051,13.126,0.025,42.9,9.127E-01,13.138,0.030,36.0,8.966E-01,12.489,0.450,2.4,1.032E+00,8.706,null,1.3,1.119E+00,1,0,0.015,0.000,0.000,0.000,-48,69,-27,70,00p0,0,00nn,AACU,0000,31,31,31,31,0,14,0,15
89,9.245551,34.686895,27021597837277875,3.4718969727E+02,6.3718170166E+01,J230846.31+634313.0,347.1929983,63.7202819,0.0323,0.0335,0.0065,7.755,0.028,39.1,1.003E+00,7.835,0.020,55.1,1.460E+00,7.663,0.021,52.5,9.008E-01,7.127,0.079,13.7,9.366E-01,1,0,0.033,0.000,0.000,0.000,-80,24,21,24,00o0,0,0000,AAAA,0000,56,56,56,56,36,36,24,36
94,8.733100,-173.716093,27021598154931956,1.7184135437E+02,4.3670028687E+01,J112721.83+434003.4,171.8409873,43.6676174,0.5242,0.5649,0.1392,17.814,0.204,5.3,9.781E-01,16.785,0.282,3.9,8.511E-01,12.718,null,-0.8,9.730E-01,9.127,null,-1.4,1.017E+00,1,0,0.000,0.000,0.000,0.000,-769,2472,-1560,2666,0000,0,nnnn,BBUU,0000,3,30,0,30,0,15,0,15
95,5.879328,58.747389,4527348793,9.3775535583E+01,1.1351097107E+01,J061506.47+112106.9,93.7769596,11.3519444,0.1489,0.1596,-0.0210,15.784,0.053,20.5,8.789E-01,16.576,0.302,3.6,8.556E-01,12.610,null,-1.3,9.420E-01,8.793,null,0.0,9.250E-01,1,0,0.000,0.000,0.000,0.000,579,580,-182,627,0000,0,1nnn,ABUU,1111,23,25,1,25,0,12,0,12
98,1.133729,137.407265,27021597959051741,6.9745248556E-01,2.6138170242E+01,J000247.44+260816.5,0.6976899,26.1379384,0.5211,0.5425,-0.1584,17.592,0.174,6.2,8.587E-01,17.168,0.540,2.0,8.649E-01,12.636,null,0.4,9.882E-01,9.202,null,-0.4,9.610E-01,1,0,0.001,0.000,0.000,0.000,-2397,2541,-2078,2645,0000,0,nnnn,BCUU,1244,2,35,0,26,0,17,0,16
102,2.134878,100.319802,27021597833497445,3.0828463745E+02,6.3050830841E+01,J203308.62+630302.6,308.2859248,63.0507246,0.4760,0.4374,-0.1010,17.998,0.173,6.3,8.353E-01,16.962,0.230,4.7,8.146E-01,13.451,null,-1.2,1.037E+00,9.599,null,-1.0,9.436E-01,1,0,0.001,0.000,0.000,0.000,1714,2310,3126,2112,h000,0,nnnn,BBUU,0000,3,79,2,79,0,44,0,44
105,0.350067,-142.934046,27021597905230062,2.4527700806E+02,4.3690742493E+01,J162106.46+434126.3,245.2769270,43.6906649,0.4368,0.4830,0.0784,17.863,0.144,7.5,9.492E-01,17.798,null,0.2,9.648E-01,13.259,null,0.5,9.940E-01,9.805,null,-0.7,9.570E-01,1,0,0.000,0.000,0.000,0.000,128,2094,901,2307,0000,0,nnnn,BUUU,0000,4,64,0,64,0,62,0,62
106,3.646824,105.722931,5208971331,2.7142694092E+02,1.3658913612E+01,J180542.70+133931.1,271.4279444,13.6586391,0.0820,0.0867,-0.0199,14.859,0.034,31.6,3.180E+00,15.030,0.071,15.2,1.260E+00,12.637,null,-0.4,8.873E-01,9.082,null,0.0,9.961E-01,1,0,0.000,0.000,0.000,0.000,-220,231,115,257,0000,1,00nn,AAUU,0000,28,28,19,28,0,12,0,12
107,8.893889,-129.553405,4347406864,2.4870509338E+02,6.4998725891E+01,J163448.14+645949.7,248.7005866,64.9971526,0.2314,0.2216,0.0685,17.105,0.077,14.1,8.897E-01,16.896,0.207,5.3,8.219E-01,12.892,null,0.9,8.823E-01,9.558,null,-0.8,9.128E-01,1,0,0.001,0.000,0.000,0.000,-1562,944,-201,905,0000,0,nnnn,ABUU,0000,15,72,0,72,0,40,0,40
107,9.287389,41.954272,4347406864,2.4870509338E+02,6.4998725891E+01,J163450.20+650002.3,248.7091745,65.0006444,0.1236,0.1218,0.0336,16.317,0.045,23.9,1.015E+00,16.085,0.101,10.8,8.918E-01,13.052,null,0.2,1.020E+00,9.682,null,-0.4,9.249E-01,1,0,0.000,0.000,0.000,0.003,282,442,175,428,0000,0,1nnn,AAUU,0000,52,72,6,72,0,40,0,40
110,6.456655,178.587869,27021597934565963,3.7348903656E+01,-8.0937576294E+00,J022923.74-080543.9,37.3489483,-8.0955506,0.6355,0.6539,-0.2020,17.946,0.217,5.0,9.502E-01,16.790,null,1.9,9.815E-01,12.315,null,1.1,8.425E-01,8.780,null,1.3,1.016E+00,1,0,0.000,0.000,0.000,0.000,-331,1959,1224,1993,0000,0,nnnn,BUUU,0000,4,36,1,36,0,23,0,23
