cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,gaia_dr3_source_id_01,snr_snowwhite_01,wd_type_01,teff_snowwhite_01,e_teff_snowwhite_01,logg_snowwhite_01,e_logg_snowwhite_01,spec_file_01,sn_median_all_01,mjd_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ext_flg,var_flg,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
11133,0.201982,-105.455346,2.7021597906E+16,2.5136953735E+02,6.4894279480E+01,1.6349471316E+18,3.8093539429E+02,DA,2.3033226562E+04,3.3698097229E+01,7.8675484657E+00,1.7226846830E-04,spec-101161-59715-27021597906410099.fits,3.3311325073E+01,59715,J164528.65+645339.3,251.3694099,64.8942645,0.4104,0.3859,0.1050,16.863,0.067,16.3,8.331E-01,17.540,0.370,2.9,9.194E-01,13.448,null,0.5,1.028E+00,9.998,null,-0.4,1.007E+00,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0000,9,61,1,61,1,58,2,58,1115340855,16.297,0.128,16.203,0.254,16.497,null
11150,0.808055,81.038183,2.7021597914E+16,1.3408056641E+02,6.2109054565E+01,1.0429262926E+18,1.4479272461E+02,DA,1.2400000000E+04,1.6687002563E+02,8.4841947556E+00,1.3554848556E-04,spec-102946-59955-27021597914367987.fits,1.0276669502E+01,59955,J085619.44+620632.7,134.0810404,62.1090895,1.1728,1.2935,0.2515,17.552,0.201,5.4,8.695E-01,16.720,null,1.1,1.020E+00,13.073,null,-0.1,9.761E-01,9.376,null,-1.3,1.069E+00,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,1,18,1,18,0,18,0,18,null,null,null,null,null,null,null
11263,0.848515,48.974211,4.5995156680E+09,1.8289648438E+02,2.0894533157E+01,3.9517706499E+18,5.4269420624E+01,DA,3.7422671875E+04,4.9637436867E+00,6.5000000000E+00,0.0000000000E+00,spec-015295-59294-4599515668.fits,3.4521202087E+01,59294,J121135.20+205340.8,182.8966747,20.8946879,0.6847,0.7602,0.1465,16.685,0.115,9.5,1.000E+00,16.824,null,0.4,9.480E-01,12.354,null,1.1,8.832E-01,9.225,null,-0.2,1.090E+00,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,5,14,0,14,0,14,0,14,932648078,16.737,0.135,16.622,null,15.879,0.230
11264,0.848515,48.974211,4.5995156680E+09,1.8289648438E+02,2.0894533157E+01,3.9517706499E+18,5.4269420624E+01,DA,3.7422671875E+04,4.9637436867E+00,6.5000000000E+00,0.0000000000E+00,spec-015295-59318-4599515668.fits,1.6633415222E+01,59318,J121135.20+205340.8,182.8966747,20.8946879,0.6847,0.7602,0.1465,16.685,0.115,9.5,1.000E+00,16.824,null,0.4,9.480E-01,12.354,null,1.1,8.832E-01,9.225,null,-0.2,1.090E+00,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,5,14,0,14,0,14,0,14,932648078,16.737,0.135,16.622,null,15.879,0.230
11265,0.848515,48.974211,4.5995156680E+09,1.8289648438E+02,2.0894533157E+01,3.9517706499E+18,5.4269420624E+01,DA,3.7422671875E+04,4.9637436867E+00,6.5000000000E+00,0.0000000000E+00,spec-015295-59352-4599515668.fits,8.2571496964E+00,59352,J121135.20+205340.8,182.8966747,20.8946879,0.6847,0.7602,0.1465,16.685,0.115,9.5,1.000E+00,16.824,null,0.4,9.480E-01,12.354,null,1.1,8.832E-01,9.225,null,-0.2,1.090E+00,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,5,14,0,14,0,14,0,14,932648078,16.737,0.135,16.622,null,15.879,0.230
11400,0.438246,-6.345721,5.1703121250E+09,2.3242289734E+02,6.0668120384E+00,4.4291064819E+18,2.3220576477E+02,DA,1.4920202148E+04,4.7839770317E+00,7.8716292381E+00,2.3123675419E-05,spec-015272-59305-5170312125.fits,8.2082893372E+01,59305,J152941.49+060400.9,232.4228838,6.0669330,0.4251,0.4678,0.0525,16.552,0.075,14.5,9.109E-01,17.083,0.429,2.5,8.759E-01,13.177,null,-1.6,9.965E-01,9.199,null,0.6,9.696E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0022,12,28,0,28,0,27,0,27,1254432055,16.329,0.125,15.942,null,15.575,0.261
11401,0.438246,-6.345721,5.1703121250E+09,2.3242289734E+02,6.0668120384E+00,4.4291064819E+18,2.3220576477E+02,DA,1.4920202148E+04,4.7839770317E+00,7.8716292381E+00,2.3123675419E-05,spec-015272-59326-5170312125.fits,8.5283554077E+01,59326,J152941.49+060400.9,232.4228838,6.0669330,0.4251,0.4678,0.0525,16.552,0.075,14.5,9.109E-01,17.083,0.429,2.5,8.759E-01,13.177,null,-1.6,9.965E-01,9.199,null,0.6,9.696E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0022,12,28,0,28,0,27,0,27,1254432055,16.329,0.125,15.942,null,15.575,0.261
11402,0.438246,-6.345721,5.1703121250E+09,2.3242289734E+02,6.0668120384E+00,4.4291064819E+18,2.3220576477E+02,DA,1.4920202148E+04,4.7839770317E+00,7.8716292381E+00,2.3123675419E-05,spec-015272-59335-5170312125.fits,6.4938636780E+01,59335,J152941.49+060400.9,232.4228838,6.0669330,0.4251,0.4678,0.0525,16.552,0.075,14.5,9.109E-01,17.083,0.429,2.5,8.759E-01,13.177,null,-1.6,9.965E-01,9.199,null,0.6,9.696E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0022,12,28,0,28,0,27,0,27,1254432055,16.329,0.125,15.942,null,15.575,0.261
11403,0.438246,-6.345721,5.1703121250E+09,2.3242289734E+02,6.0668120384E+00,4.4291064819E+18,2.3220576477E+02,DA,1.4920202148E+04,4.7839770317E+00,7.8716292381E+00,2.3123675419E-05,spec-015272-59360-5170312125.fits,6.9310997009E+01,59360,J152941.49+060400.9,232.4228838,6.0669330,0.4251,0.4678,0.0525,16.552,0.075,14.5,9.109E-01,17.083,0.429,2.5,8.759E-01,13.177,null,-1.6,9.965E-01,9.199,null,0.6,9.696E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0022,12,28,0,28,0,27,0,27,1254432055,16.329,0.125,15.942,null,15.575,0.261
11404,0.438246,-6.345721,5.1703121250E+09,2.3242289734E+02,6.0668120384E+00,4.4291064819E+18,2.3220576477E+02,DA,1.4920202148E+04,4.7839770317E+00,7.8716292381E+00,2.3123675419E-05,spec-015272-59383-5170312125.fits,6.2959342957E+01,59383,J152941.49+060400.9,232.4228838,6.0669330,0.4251,0.4678,0.0525,16.552,0.075,14.5,9.109E-01,17.083,0.429,2.5,8.759E-01,13.177,null,-1.6,9.965E-01,9.199,null,0.6,9.696E-01,1,0,0.000,0.000,0.000,0.000,0000,0,0nnn,0022,12,28,0,28,0,27,0,27,1254432055,16.329,0.125,15.942,null,15.575,0.261
