cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,gaia_dr3_source_id_01,snr_snowwhite_01,wd_type_01,teff_snowwhite_01,e_teff_snowwhite_01,logg_snowwhite_01,e_logg_snowwhite_01,spec_file_01,sn_median_all_01,mjd_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
12313,8.505422,162.670931,4.5949516620E+09,1.7086849976E+02,9.9386882782E+00,3.9150268611E+18,1.2102417755E+02,DA,2.0431244141E+04,2.8186050415E+01,8.2823162079E+00,4.9010002840E-05,spec-015129-59221-4594951662.fits,2.5152429581E+01,59221,J112328.61+095611.1,170.8692142,9.9364329,0.5557,0.6144,0.1147,17.452,0.190,5.7,9.739E-01,16.586,null,1.7,8.770E-01,12.370,null,-0.3,8.823E-01,8.947,null,-0.5,1.040E+00,1,0,0.000,0.000,0.000,0.000,-3021,2520,-2303,2784,0000,0,nnnn,BUUU,0000,1,23,0,23,0,12,0,12
12314,8.505422,162.670931,4.5949516620E+09,1.7086849976E+02,9.9386882782E+00,3.9150268611E+18,1.2102417755E+02,DA,2.0431244141E+04,2.8186050415E+01,8.2823162079E+00,4.9010002840E-05,spec-015129-59250-4594951662.fits,3.5374660492E+01,59250,J112328.61+095611.1,170.8692142,9.9364329,0.5557,0.6144,0.1147,17.452,0.190,5.7,9.739E-01,16.586,null,1.7,8.770E-01,12.370,null,-0.3,8.823E-01,8.947,null,-0.5,1.040E+00,1,0,0.000,0.000,0.000,0.000,-3021,2520,-2303,2784,0000,0,nnnn,BUUU,0000,1,23,0,23,0,12,0,12
12315,8.505422,162.670931,4.5949516620E+09,1.7086849976E+02,9.9386882782E+00,3.9150268611E+18,1.2102417755E+02,DA,2.0431244141E+04,2.8186050415E+01,8.2823162079E+00,4.9010002840E-05,spec-015129-59278-4594951662.fits,2.8439733505E+01,59278,J112328.61+095611.1,170.8692142,9.9364329,0.5557,0.6144,0.1147,17.452,0.190,5.7,9.739E-01,16.586,null,1.7,8.770E-01,12.370,null,-0.3,8.823E-01,8.947,null,-0.5,1.040E+00,1,0,0.000,0.000,0.000,0.000,-3021,2520,-2303,2784,0000,0,nnnn,BUUU,0000,1,23,0,23,0,12,0,12
12316,8.505422,162.670931,4.5949516620E+09,1.7086849976E+02,9.9386882782E+00,3.9150268611E+18,1.2102417755E+02,DA,2.0431244141E+04,2.8186050415E+01,8.2823162079E+00,4.9010002840E-05,spec-015193-59243-4594951662.fits,1.9942825317E+01,59243,J112328.61+095611.1,170.8692142,9.9364329,0.5557,0.6144,0.1147,17.452,0.190,5.7,9.739E-01,16.586,null,1.7,8.770E-01,12.370,null,-0.3,8.823E-01,8.947,null,-0.5,1.040E+00,1,0,0.000,0.000,0.000,0.000,-3021,2520,-2303,2784,0000,0,nnnn,BUUU,0000,1,23,0,23,0,12,0,12
12317,8.505422,162.670931,4.5949516620E+09,1.7086849976E+02,9.9386882782E+00,3.9150268611E+18,1.2102417755E+02,DA,2.0431244141E+04,2.8186050415E+01,8.2823162079E+00,4.9010002840E-05,spec-015193-59248-4594951662.fits,2.6759763718E+01,59248,J112328.61+095611.1,170.8692142,9.9364329,0.5557,0.6144,0.1147,17.452,0.190,5.7,9.739E-01,16.586,null,1.7,8.770E-01,12.370,null,-0.3,8.823E-01,8.947,null,-0.5,1.040E+00,1,0,0.000,0.000,0.000,0.000,-3021,2520,-2303,2784,0000,0,nnnn,BUUU,0000,1,23,0,23,0,12,0,12
12318,8.505422,162.670931,4.5949516620E+09,1.7086849976E+02,9.9386882782E+00,3.9150268611E+18,1.2102417755E+02,DA,2.0431244141E+04,2.8186050415E+01,8.2823162079E+00,4.9010002840E-05,spec-015193-59271-4594951662.fits,3.9526443481E+01,59271,J112328.61+095611.1,170.8692142,9.9364329,0.5557,0.6144,0.1147,17.452,0.190,5.7,9.739E-01,16.586,null,1.7,8.770E-01,12.370,null,-0.3,8.823E-01,8.947,null,-0.5,1.040E+00,1,0,0.000,0.000,0.000,0.000,-3021,2520,-2303,2784,0000,0,nnnn,BUUU,0000,1,23,0,23,0,12,0,12
12319,8.505422,162.670931,4.5949516620E+09,1.7086849976E+02,9.9386882782E+00,3.9150268611E+18,1.2102417755E+02,DA,2.0431244141E+04,2.8186050415E+01,8.2823162079E+00,4.9010002840E-05,spec-015193-59277-4594951662.fits,3.6899837494E+01,59277,J112328.61+095611.1,170.8692142,9.9364329,0.5557,0.6144,0.1147,17.452,0.190,5.7,9.739E-01,16.586,null,1.7,8.770E-01,12.370,null,-0.3,8.823E-01,8.947,null,-0.5,1.040E+00,1,0,0.000,0.000,0.000,0.000,-3021,2520,-2303,2784,0000,0,nnnn,BUUU,0000,1,23,0,23,0,12,0,12
12325,5.391293,83.446234,5.3462893860E+09,2.8387384033E+02,3.5651756287E+01,2.0932346763E+18,1.1749000549E+01,DA,1.4626517578E+04,3.8046347046E+02,8.6112527847E+00,4.3605250539E-04,spec-015332-59305-5346289386.fits,8.5401821136E+00,59305,J185530.16+353906.9,283.8756713,35.6519272,0.0361,0.0336,-0.0031,9.528,0.022,48.6,1.672E+00,9.611,0.020,55.3,1.201E+00,9.157,0.029,37.6,1.108E+00,8.584,null,1.2,9.856E-01,1,0,0.000,0.000,0.000,0.000,-29,39,95,34,0000,0,111n,AAAU,0000,43,43,43,43,21,21,0,21
12326,8.112336,158.226301,2.7021598052E+16,7.5001182556E+01,3.3793692589E+00,3.2383953812E+18,9.2234443665E+01,DA,6.9345810547E+03,3.3797593117E+00,7.5687942505E+00,3.5050211591E-04,spec-103950-59936-27021598052217415.fits,1.8765531540E+01,59936,J050000.48+032238.1,75.0020199,3.3772766,0.2681,0.2809,-0.0629,16.656,0.091,12.0,9.573E-01,16.586,null,1.9,7.728E-01,12.469,null,-0.1,8.492E-01,8.788,null,0.2,9.071E-01,1,0,0.000,0.000,0.000,0.000,302,1024,1445,1080,0000,0,0nnn,AUUU,0000,10,25,0,25,0,11,0,11
12327,8.112336,158.226301,2.7021598052E+16,7.5001182556E+01,3.3793692589E+00,3.2383953812E+18,9.2234443665E+01,DA,6.9345810547E+03,3.3797593117E+00,7.5687942505E+00,3.5050211591E-04,spec-103950-59937-27021598052217415.fits,2.1269203186E+01,59937,J050000.48+032238.1,75.0020199,3.3772766,0.2681,0.2809,-0.0629,16.656,0.091,12.0,9.573E-01,16.586,null,1.9,7.728E-01,12.469,null,-0.1,8.492E-01,8.788,null,0.2,9.071E-01,1,0,0.000,0.000,0.000,0.000,302,1024,1445,1080,0000,0,0nnn,AUUU,0000,10,25,0,25,0,11,0,11
12328,0.826141,66.578177,2.7021598150E+16,1.4129777527E+02,5.1587042809E+00,3.8521183076E+18,3.8893383026E+01,DA,1.1050583008E+04,4.1247341156E+01,8.3120918274E+00,1.9924373191E-05,spec-101303-59958-27021598149882667.fits,2.6383985519E+01,59958,J092511.51+050931.6,141.2979867,5.1587955,0.1064,0.1147,0.0053,15.401,0.042,26.1,8.824E-01,15.504,0.115,9.4,9.269E-01,12.443,null,0.4,8.718E-01,8.840,null,0.2,1.237E+00,1,0,0.000,0.000,0.000,0.000,-25,343,-49,375,0000,0,0nnn,ABUU,0000,23,23,3,23,0,11,1,11
12331,6.151781,129.112156,4.3683597340E+09,3.2332739258E+02,-7.7200490236E-01,2.6868505588E+18,1.2457677841E+01,DA,6.6094794922E+03,5.0155782700E-01,6.5000000000E+00,0.0000000000E+00,spec-015064-59375-4368359734.fits,9.0896587372E+00,59375,J213318.89-004623.0,323.3287186,-0.7730829,0.0770,0.0792,-0.0115,14.568,0.032,34.4,1.499E+00,15.135,0.101,10.8,9.197E-01,12.566,null,0.0,8.925E-01,8.350,null,1.2,8.793E-01,1,0,0.000,0.000,0.000,0.000,272,187,42,201,0000,2,11nn,AAUU,3400,27,27,14,26,0,15,0,15
12332,9.025342,-0.193501,2.7021598104E+16,1.2188478851E+02,1.8206466675E+01,6.6898149469E+17,6.6152129173E+00,DA,1.0907351562E+04,2.6119351196E+02,8.5168666840E+00,2.2333475499E-05,spec-101944-59884-27021598103736826.fits,4.6771788597E+00,59884,J080732.34+181232.3,121.8847796,18.2089737,0.3214,0.3456,-0.0151,16.936,0.110,9.9,9.896E-01,16.730,0.370,2.9,9.413E-01,12.652,null,-1.1,8.893E-01,9.003,null,0.1,1.079E+00,1,0,0.000,0.000,0.000,0.000,52,1304,1325,1400,0000,0,1nnn,BCUU,1100,9,24,0,24,0,12,0,12
12333,0.834703,70.654366,4.4019534150E+09,4.4287429810E+01,7.7434629202E-01,2.8817512571E+14,5.6082881927E+01,DA,1.2593832031E+04,4.1560485840E+01,7.9458794594E+00,2.4422053684E-05,spec-015049-59193-4401953415.fits,4.1471675873E+01,59193,J025709.03+004627.9,44.2876486,0.7744231,0.3255,0.3385,-0.1012,17.146,0.107,10.1,9.907E-01,16.929,null,1.0,8.772E-01,12.858,null,-1.6,9.806E-01,9.351,null,0.0,9.424E-01,1,0,0.000,0.000,0.000,0.000,-309,882,1319,926,0000,0,nnnn,AUUU,1222,10,39,0,35,0,26,0,26
12353,6.985667,98.373472,2.7021597940E+16,3.3588598633E+02,1.0036091805E+00,2.6785068761E+18,1.9593873596E+02,DA,1.4862344727E+04,1.7602680206E+01,7.8010339737E+00,1.2394825171E-04,spec-103523-59882-27021597939691219.fits,2.1828006744E+01,59882,J222333.09+010011.9,335.8879064,1.0033266,0.1130,0.1129,-0.0299,15.308,0.043,25.4,9.552E-01,15.294,0.108,10.0,9.848E-01,12.010,0.417,2.6,8.262E-01,8.737,null,0.3,1.062E+00,1,0,0.000,0.000,0.000,0.000,-400,380,117,383,00PP,0,0nnn,AACU,1111,21,21,8,21,0,9,0,9
12354,6.985667,98.373472,2.7021597940E+16,3.3588598633E+02,1.0036091805E+00,2.6785068761E+18,1.9593873596E+02,DA,1.4862344727E+04,1.7602680206E+01,7.8010339737E+00,1.2394825171E-04,spec-104657-59820-27021597939691219.fits,1.7838287354E+01,59820,J222333.09+010011.9,335.8879064,1.0033266,0.1130,0.1129,-0.0299,15.308,0.043,25.4,9.552E-01,15.294,0.108,10.0,9.848E-01,12.010,0.417,2.6,8.262E-01,8.737,null,0.3,1.062E+00,1,0,0.000,0.000,0.000,0.000,-400,380,117,383,00PP,0,0nnn,AACU,1111,21,21,8,21,0,9,0,9
